0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000002
10	0.000009
11	0.000033
12	0.000108
13	0.000315
14	0.000833
15	0.001999
16	0.004373
17	0.008746
18	0.016035
19	0.027006
20	0.041859
21	0.059799
22	0.078826
23	0.095962
24	0.107957
25	0.112275
26	0.107957
27	0.095962
28	0.078826
29	0.059799
30	0.041859
31	0.027006
32	0.016035
33	0.008746
34	0.004373
35	0.001999
36	0.000833
37	0.000315
38	0.000108
39	0.000033
40	0.000009
41	0.000002
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
